netzabschnitts_id,velocity_15,velocity_50,velocity_65,velocity_75,velocity_85,avg_velocity
535,83.57821655348646,86.40783644308001,87.1159066476829,87.6689660086869,88.5014877793697,85.75139632392832
703,71.79088456228395,85.80668135728241,86.72438274133758,87.31082765602719,88.07199183920423,82.03886014644067
736,83.01107368566745,85.56886172575491,86.30964879444275,86.84759385380556,87.5347376984927,85.3104713911461
206,79.28827671726299,85.31695236201269,86.74632267386026,88.01399084450556,89.96066658789934,84.04213807674242
465,77.97484349408226,83.18354760472661,84.4935167047373,85.3675584331264,86.40009295360171,82.22423003157854
621,80.66332183348051,84.84145244334302,85.74516502374591,86.43192660059621,87.45278085370258,83.17950981771622
616,79.74136702225874,84.47210979821392,85.57583200383796,86.403326044644,87.53134491872119,82.25583019735039
283,75.84078258871718,82.63486053310483,84.45337394839022,85.805212198153,87.7251891994939,81.48718115154053
284,69.36201013935967,76.11272102155213,78.13839264270796,79.52230117343521,81.1701813935158,74.96915675701824
534,82.89637154145178,86.50747098412778,87.32873119818508,87.9723372587826,88.92822376585225,85.35390289226528
197,84.02869771091589,86.18871544859788,86.90824716582304,87.47267828308426,88.25893318546917,86.06615861472088
188,82.26357863928607,85.54922516509791,86.49137557511207,87.1392283462632,88.17062135783081,84.94025362079333
193,83.22078665235118,85.73307511233725,86.68697796753479,87.43760810938666,88.70028072761365,85.98080924479957
290,78.84354844816929,83.86617670909223,85.21460880566421,86.26328791788694,87.78782432748785,82.76581554040071
295,81.11238514742091,85.16313273952748,86.76581144701424,88.31934781555384,91.35105081552084,86.02495110862625
564,73.14446747900124,82.88855742916553,84.97720764831577,86.46704337973867,88.35210469657324,79.76816587847732
567,75.32491019824589,86.3514885943207,88.55087534662611,91.43660982748241,96.48930125657972,85.76014962756236
234,80.17596990211722,84.62103711548833,85.78172684931673,86.55728859712082,87.6173964005682,84.38875032550018
33,82.8326824275966,86.12270276755547,86.95818544390329,87.50558401916012,88.30813998411274,85.89332910260748
