netzabschnitt,laenge_netzabschnitt_km
729,62.5933445573942
730,63.65736644141311
731,63.28448029067773
732,36.26697708492677
733,35.86053137592408
734,42.2426409473689
735,41.85423483740339
736,111.49121866787158
737,111.4002604107489
738,72.973175240068
739,73.61944407503744
740,37.56460518066322
741,36.91950370458275
742,7.982329519453073
743,7.587156713031595
744,23.520907564603636
745,23.660814004950364
746,21.742713032504657
747,21.862760265158162
748,25.345416092928357
749,24.28257716423777
750,111.54512823988178
751,112.4235559324789
752,98.95142563328355
753,99.22819823078561
754,5.893904171778074
755,6.943469004197887
756,31.539824709113862
757,32.10588105256088
758,27.720332433016853
759,28.180246564912725
760,14.730033918338396
761,14.16583831901055
762,18.287998950183045
763,81.85476278615032
764,12.692735220029872
765,12.730318840380084
